Aktie,P/E,P/S,Vinst/aktie,Substans/aktie,Utdelning/aktie,Direktavkastning,Kurs/JEK,Vinst/JEK
Raketech Group Holding plc,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ranplan Group AB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Realfiction Holding AB,-18.78,10.02,-0.87,1.39,0.00,0.00,11.76,-0.63
Redsense Medical AB,-12.30,50.95,-0.87,0.31,0.00,0.00,34.52,-2.81
RLS Global AB,-26.82,228.00,-0.34,0.89,0.00,0.00,10.25,-0.38
SaltX Technology Holding AB ser. B,-28.64,41.66,-0.52,2.94,0.00,0.00,6.23,-0.18
SaltX Technology Holding TO2 B,-7.31,8.64,-0.52,2.94,0.00,0.00,1.29,-0.18
Saltängen Property Invest AB,6.27,7.33,20.69,128.74,9.80,7.55,1.01,0.16
Samhällsbyggnadsbo. i Norden AB ser. B,3.47,4.35,3.72,10.35,0.10,1.12,0.86,0.36
Samhällsbyggnadsbolaget i Norden AB Pref,0.00,0.00,0.00,10.35,35.00,5.90,57.36,0.00
Savosolar Oyj BTA,0.00,0.00,-0.52,0.19,0.00,0.00,0.00,-2.74
Savosolar Oyj TR,-0.13,0.82,-0.52,0.19,0.00,0.00,0.35,-2.74
Savosolar Plc,-5.73,3.58,-0.52,0.19,0.00,0.00,1.51,-2.74
Saxlund Group AB,-0.87,0.07,-2.75,2.80,0.00,0.00,0.60,-0.98
ScandBook Holding AB,16.27,0.19,0.42,34.62,0.00,0.00,0.35,0.01
ScandiDos AB,-8.10,2.38,-0.52,1.75,0.00,0.00,2.78,-0.30
Scandinavian ChemoTech AB B,-1.50,4.68,-7.84,6.49,0.00,0.00,1.81,-1.21
Scandinavian Chemotech AB BTA B,-1.47,4.58,-7.84,6.49,0.00,0.00,1.77,-1.21
Scandinavian Enviro Systems AB,-3.03,46.90,-0.32,0.97,0.00,0.00,0.97,-0.33
